date,Accommodation & Food Services Activities.,Administrative & Support Service Activities.,"Arts, Entertainment & Recreation.",Construction,Education.,"Electricity, Gas, Steam & Air Con Supply",Financial & Insurance Activities.,Human Health & Social Work.,Information & Communication.,Manufacturing,Mining & Quarrying,Other Service Activities.,"Professional, Scientific & Technical Activities.",Public Administration & Defence.,Real Estate Activities.,Transport & Storage,"Water Supply, Sewarage, Waste Management etc.","Wholesale & Retail, Repair of motor vehicles."
2015-01-01,78.0,53.0,16.0,27.0,50.0,4.0,38.0,106.0,35.0,50.0,1.0,19.0,64.0,11.0,9.0,31.0,2.0,128.0
2015-02-01,78.0,52.0,17.0,27.0,50.0,4.0,39.0,108.0,36.0,48.0,1.0,19.0,64.0,11.0,10.0,33.0,2.0,131.0
2015-03-01,80.0,51.0,17.0,26.0,52.0,4.0,38.0,110.0,35.0,47.0,1.0,18.0,62.0,12.0,11.0,33.0,2.0,130.0
2015-04-01,80.0,51.0,16.0,25.0,51.0,4.0,36.0,111.0,37.0,47.0,1.0,17.0,66.0,11.0,10.0,33.0,3.0,129.0
2015-05-01,80.0,52.0,16.0,26.0,52.0,4.0,34.0,113.0,36.0,50.0,1.0,16.0,68.0,11.0,11.0,32.0,3.0,128.0
2015-06-01,79.0,52.0,16.0,27.0,51.0,4.0,35.0,117.0,37.0,51.0,1.0,15.0,70.0,11.0,12.0,31.0,3.0,130.0
2015-07-01,82.0,51.0,16.0,25.0,51.0,4.0,35.0,119.0,37.0,51.0,1.0,15.0,70.0,12.0,14.0,29.0,3.0,129.0
2015-08-01,84.0,53.0,14.0,24.0,49.0,4.0,35.0,119.0,38.0,51.0,1.0,15.0,71.0,13.0,15.0,30.0,3.0,125.0
2015-09-01,85.0,53.0,14.0,23.0,49.0,4.0,32.0,118.0,40.0,49.0,1.0,18.0,69.0,13.0,14.0,31.0,3.0,124.0
2015-10-01,85.0,53.0,14.0,23.0,49.0,4.0,30.0,119.0,40.0,48.0,1.0,19.0,67.0,13.0,14.0,31.0,4.0,128.0
2015-11-01,83.0,51.0,16.0,22.0,49.0,4.0,30.0,121.0,41.0,48.0,1.0,22.0,65.0,12.0,12.0,30.0,4.0,134.0
2015-12-01,82.0,51.0,17.0,21.0,52.0,4.0,31.0,124.0,39.0,49.0,1.0,20.0,63.0,11.0,11.0,30.0,4.0,137.0
2016-01-01,80.0,50.0,18.0,21.0,51.0,4.0,31.0,127.0,41.0,47.0,1.0,20.0,64.0,11.0,9.0,30.0,3.0,139.0
2016-02-01,83.0,48.0,18.0,21.0,50.0,4.0,30.0,124.0,42.0,46.0,1.0,21.0,65.0,11.0,9.0,30.0,3.0,139.0
2016-03-01,85.0,48.0,18.0,22.0,50.0,4.0,30.0,120.0,42.0,45.0,1.0,21.0,67.0,10.0,8.0,31.0,3.0,140.0
2016-04-01,87.0,48.0,17.0,23.0,49.0,4.0,29.0,119.0,42.0,46.0,1.0,22.0,67.0,11.0,10.0,33.0,3.0,139.0
2016-05-01,81.0,49.0,16.0,22.0,49.0,4.0,31.0,118.0,45.0,46.0,1.0,22.0,67.0,13.0,10.0,36.0,3.0,138.0
2016-06-01,79.0,50.0,18.0,21.0,46.0,4.0,30.0,119.0,46.0,49.0,1.0,20.0,65.0,14.0,11.0,34.0,4.0,139.0
2016-07-01,77.0,52.0,22.0,21.0,47.0,4.0,29.0,119.0,45.0,49.0,1.0,22.0,65.0,14.0,11.0,34.0,4.0,137.0
2016-08-01,77.0,53.0,24.0,21.0,49.0,5.0,31.0,121.0,40.0,51.0,1.0,24.0,63.0,13.0,10.0,32.0,4.0,136.0
2016-09-01,79.0,55.0,22.0,25.0,50.0,4.0,31.0,121.0,39.0,52.0,1.0,26.0,64.0,13.0,9.0,31.0,3.0,137.0
2016-10-01,82.0,56.0,20.0,27.0,48.0,4.0,31.0,119.0,38.0,53.0,1.0,24.0,65.0,13.0,8.0,30.0,3.0,135.0
2016-11-01,84.0,55.0,18.0,29.0,48.0,4.0,31.0,119.0,38.0,53.0,1.0,22.0,66.0,13.0,8.0,30.0,3.0,136.0
2016-12-01,88.0,52.0,17.0,28.0,48.0,4.0,31.0,119.0,39.0,52.0,1.0,20.0,64.0,13.0,9.0,29.0,4.0,135.0
2017-01-01,92.0,50.0,17.0,29.0,50.0,4.0,32.0,122.0,39.0,52.0,1.0,20.0,64.0,15.0,11.0,29.0,4.0,136.0
2017-02-01,93.0,56.0,15.0,28.0,52.0,4.0,33.0,120.0,39.0,50.0,1.0,19.0,65.0,16.0,13.0,29.0,5.0,134.0
2017-03-01,91.0,57.0,17.0,27.0,53.0,4.0,34.0,124.0,41.0,55.0,1.0,20.0,67.0,16.0,13.0,31.0,4.0,136.0
2017-04-01,91.0,56.0,17.0,27.0,51.0,4.0,36.0,124.0,42.0,53.0,1.0,19.0,67.0,16.0,11.0,30.0,4.0,137.0
2017-05-01,91.0,54.0,18.0,27.0,48.0,4.0,36.0,123.0,41.0,53.0,1.0,19.0,69.0,16.0,11.0,30.0,3.0,139.0
2017-06-01,94.0,55.0,16.0,28.0,48.0,4.0,37.0,120.0,42.0,51.0,1.0,20.0,68.0,16.0,11.0,32.0,3.0,140.0
2017-07-01,92.0,53.0,14.0,30.0,50.0,4.0,37.0,119.0,44.0,51.0,1.0,20.0,69.0,17.0,10.0,34.0,3.0,144.0
2017-08-01,91.0,51.0,17.0,30.0,52.0,4.0,40.0,122.0,43.0,51.0,1.0,21.0,68.0,17.0,10.0,33.0,3.0,145.0
2017-09-01,89.0,49.0,18.0,31.0,54.0,4.0,40.0,125.0,42.0,54.0,1.0,21.0,71.0,17.0,9.0,33.0,4.0,146.0
2017-10-01,92.0,52.0,21.0,28.0,53.0,4.0,40.0,127.0,40.0,57.0,1.0,21.0,74.0,17.0,10.0,35.0,4.0,143.0
2017-11-01,94.0,54.0,20.0,26.0,50.0,4.0,39.0,129.0,43.0,59.0,1.0,21.0,78.0,17.0,9.0,36.0,4.0,137.0
2017-12-01,95.0,54.0,21.0,24.0,50.0,4.0,39.0,131.0,43.0,57.0,1.0,22.0,76.0,18.0,9.0,41.0,4.0,132.0
2018-01-01,94.0,54.0,21.0,22.0,49.0,4.0,39.0,130.0,44.0,58.0,1.0,23.0,72.0,18.0,9.0,43.0,4.0,131.0
2018-02-01,90.0,55.0,21.0,22.0,47.0,4.0,40.0,129.0,44.0,57.0,1.0,23.0,73.0,18.0,11.0,43.0,4.0,132.0
2018-03-01,88.0,55.0,22.0,23.0,46.0,3.0,39.0,127.0,45.0,60.0,1.0,22.0,76.0,20.0,10.0,42.0,4.0,130.0
2018-04-01,87.0,55.0,23.0,23.0,48.0,3.0,39.0,130.0,46.0,59.0,1.0,25.0,76.0,21.0,11.0,39.0,4.0,129.0
2018-05-01,91.0,56.0,23.0,26.0,47.0,4.0,38.0,133.0,48.0,60.0,1.0,27.0,75.0,21.0,10.0,40.0,4.0,127.0
2018-06-01,93.0,57.0,21.0,27.0,49.0,4.0,39.0,134.0,48.0,60.0,1.0,27.0,73.0,21.0,11.0,41.0,4.0,131.0
2018-07-01,92.0,55.0,18.0,29.0,50.0,4.0,39.0,134.0,47.0,61.0,1.0,27.0,76.0,21.0,11.0,40.0,4.0,134.0
2018-08-01,91.0,55.0,17.0,26.0,51.0,3.0,38.0,132.0,48.0,62.0,1.0,25.0,78.0,22.0,12.0,41.0,4.0,138.0
2018-09-01,93.0,56.0,19.0,27.0,52.0,3.0,38.0,133.0,48.0,63.0,1.0,25.0,83.0,24.0,11.0,40.0,4.0,140.0
2018-10-01,92.0,54.0,23.0,27.0,51.0,3.0,38.0,132.0,51.0,63.0,1.0,24.0,80.0,24.0,12.0,41.0,4.0,140.0
2018-11-01,93.0,52.0,23.0,27.0,51.0,3.0,38.0,131.0,51.0,63.0,1.0,24.0,78.0,23.0,13.0,40.0,4.0,139.0
2018-12-01,91.0,53.0,23.0,28.0,49.0,3.0,37.0,133.0,52.0,64.0,1.0,24.0,80.0,21.0,15.0,41.0,4.0,138.0
2019-01-01,89.0,51.0,22.0,28.0,49.0,3.0,36.0,133.0,51.0,60.0,1.0,24.0,80.0,20.0,14.0,43.0,4.0,138.0
2019-02-01,92.0,51.0,23.0,28.0,50.0,3.0,34.0,136.0,48.0,60.0,1.0,23.0,81.0,20.0,13.0,43.0,4.0,136.0
2019-03-01,95.0,53.0,22.0,27.0,51.0,4.0,34.0,136.0,46.0,57.0,2.0,22.0,80.0,21.0,12.0,42.0,4.0,134.0
2019-04-01,96.0,50.0,22.0,27.0,51.0,4.0,33.0,138.0,46.0,57.0,2.0,21.0,80.0,22.0,11.0,42.0,4.0,133.0
2019-05-01,92.0,49.0,20.0,26.0,51.0,4.0,34.0,138.0,43.0,54.0,2.0,20.0,78.0,22.0,12.0,41.0,4.0,131.0
2019-06-01,92.0,48.0,23.0,26.0,52.0,3.0,34.0,140.0,42.0,54.0,2.0,19.0,80.0,22.0,11.0,39.0,5.0,134.0
2019-07-01,94.0,50.0,23.0,25.0,51.0,3.0,34.0,139.0,43.0,54.0,2.0,19.0,81.0,22.0,11.0,35.0,4.0,129.0
2019-08-01,96.0,52.0,19.0,25.0,50.0,3.0,32.0,140.0,43.0,52.0,2.0,19.0,84.0,22.0,10.0,31.0,3.0,134.0
2019-09-01,92.0,53.0,16.0,24.0,50.0,3.0,32.0,139.0,44.0,51.0,2.0,19.0,85.0,24.0,12.0,31.0,3.0,132.0
2019-10-01,89.0,52.0,16.0,26.0,52.0,3.0,32.0,139.0,41.0,51.0,2.0,19.0,80.0,24.0,11.0,33.0,4.0,133.0
2019-11-01,88.0,58.0,18.0,26.0,51.0,3.0,32.0,138.0,41.0,53.0,2.0,19.0,77.0,24.0,12.0,34.0,4.0,132.0
2019-12-01,89.0,54.0,22.0,27.0,53.0,3.0,31.0,136.0,43.0,57.0,2.0,20.0,76.0,22.0,11.0,36.0,4.0,130.0
2020-01-01,93.0,55.0,23.0,28.0,51.0,3.0,30.0,136.0,43.0,55.0,2.0,18.0,76.0,22.0,13.0,37.0,3.0,133.0
2020-02-01,86.0,52.0,23.0,27.0,50.0,3.0,29.0,136.0,42.0,52.0,2.0,17.0,72.0,22.0,14.0,37.0,4.0,130.0
2020-03-01,55.0,45.0,15.0,21.0,42.0,3.0,25.0,129.0,31.0,41.0,1.0,13.0,56.0,21.0,12.0,29.0,3.0,98.0
2020-04-01,25.0,38.0,10.0,12.0,32.0,2.0,21.0,114.0,21.0,32.0,1.0,9.0,43.0,18.0,9.0,19.0,3.0,63.0
2020-05-01,8.0,29.0,2.0,7.0,22.0,2.0,17.0,103.0,13.0,24.0,0.0,6.0,32.0,15.0,4.0,10.0,2.0,36.0
2020-06-01,16.0,31.0,3.0,12.0,24.0,2.0,16.0,104.0,16.0,27.0,0.0,6.0,38.0,17.0,5.0,13.0,2.0,43.0
2020-07-01,25.0,27.0,4.0,18.0,29.0,3.0,17.0,111.0,18.0,31.0,0.0,7.0,43.0,18.0,7.0,20.0,3.0,52.0
2020-08-01,34.0,34.0,4.0,21.0,34.0,3.0,19.0,116.0,22.0,36.0,0.0,8.0,47.0,19.0,7.0,22.0,3.0,61.0
2020-09-01,32.0,34.0,7.0,25.0,39.0,3.0,19.0,122.0,26.0,42.0,1.0,11.0,50.0,19.0,10.0,29.0,4.0,63.0
2020-10-01,33.0,37.0,10.0,25.0,39.0,4.0,20.0,124.0,29.0,42.0,1.0,11.0,53.0,21.0,11.0,29.0,3.0,67.0
2020-11-01,29.0,36.0,11.0,28.0,41.0,3.0,21.0,130.0,33.0,44.0,1.0,12.0,66.0,25.0,11.0,31.0,3.0,73.0
2020-12-01,23.0,41.0,10.0,30.0,44.0,4.0,22.0,128.0,36.0,47.0,1.0,12.0,68.0,35.0,10.0,25.0,3.0,77.0
2021-01-01,20.0,44.0,8.0,29.0,42.0,4.0,23.0,129.0,39.0,50.0,1.0,13.0,69.0,35.0,8.0,23.0,3.0,75.0
2021-02-01,28.0,47.0,6.0,30.0,40.0,5.0,25.0,130.0,39.0,53.0,1.0,12.0,65.0,32.0,8.0,23.0,4.0,76.0
2021-03-01,44.0,50.0,9.0,28.0,43.0,6.0,27.0,133.0,42.0,57.0,1.0,11.0,68.0,24.0,11.0,25.0,4.0,81.0
2021-04-01,75.0,56.0,20.0,32.0,46.0,6.0,30.0,143.0,45.0,59.0,1.0,13.0,75.0,23.0,14.0,29.0,6.0,96.0
2021-05-01,109.0,64.0,25.0,30.0,50.0,6.0,33.0,153.0,48.0,64.0,1.0,19.0,81.0,24.0,16.0,35.0,6.0,108.0
2021-06-01,129.0,71.0,31.0,36.0,53.0,6.0,36.0,163.0,55.0,68.0,1.0,25.0,88.0,26.0,15.0,39.0,7.0,123.0
2021-07-01,146.0,78.0,30.0,38.0,57.0,6.0,39.0,172.0,59.0,75.0,1.0,25.0,98.0,28.0,15.0,45.0,6.0,137.0
2021-08-01,147.0,83.0,31.0,43.0,61.0,6.0,43.0,180.0,65.0,83.0,1.0,25.0,106.0,30.0,17.0,47.0,7.0,147.0
2021-09-01,162.0,87.0,33.0,45.0,62.0,6.0,46.0,191.0,67.0,90.0,2.0,26.0,113.0,31.0,17.0,53.0,9.0,154.0
2021-10-01,168.0,90.0,33.0,41.0,63.0,6.0,47.0,195.0,69.0,93.0,2.0,27.0,114.0,31.0,17.0,57.0,9.0,157.0
2021-11-01,173.0,91.0,32.0,40.0,66.0,6.0,47.0,202.0,70.0,94.0,2.0,26.0,119.0,32.0,15.0,59.0,9.0,158.0
2021-12-01,171.0,91.0,28.0,38.0,71.0,5.0,48.0,205.0,76.0,95.0,2.0,26.0,123.0,32.0,16.0,60.0,8.0,165.0
2022-01-01,167.0,87.0,31.0,48.0,74.0,5.0,49.0,212.0,76.0,96.0,2.0,25.0,124.0,34.0,16.0,59.0,9.0,164.0
2022-02-01,165.0,84.0,35.0,47.0,73.0,5.0,50.0,213.0,76.0,94.0,2.0,27.0,128.0,36.0,17.0,59.0,8.0,169.0
2022-03-01,173.0,83.0,39.0,49.0,73.0,5.0,52.0,211.0,78.0,95.0,2.0,24.0,130.0,37.0,17.0,58.0,9.0,165.0
2022-04-01,174.0,81.0,35.0,48.0,72.0,5.0,53.0,211.0,78.0,96.0,2.0,25.0,136.0,38.0,18.0,59.0,8.0,166.0
2022-05-01,176.0,80.0,34.0,46.0,73.0,6.0,55.0,213.0,79.0,94.0,2.0,25.0,133.0,40.0,17.0,54.0,9.0,167.0
2022-06-01,172.0,78.0,32.0,45.0,71.0,6.0,54.0,217.0,70.0,93.0,2.0,22.0,134.0,42.0,16.0,53.0,9.0,165.0
2022-07-01,167.0,78.0,33.0,46.0,74.0,6.0,53.0,215.0,67.0,89.0,2.0,20.0,131.0,41.0,16.0,51.0,9.0,162.0
2022-08-01,156.0,75.0,31.0,47.0,75.0,6.0,51.0,219.0,64.0,86.0,2.0,20.0,128.0,41.0,17.0,52.0,8.0,156.0
2022-09-01,146.0,78.0,28.0,48.0,81.0,6.0,48.0,213.0,63.0,84.0,2.0,23.0,127.0,41.0,16.0,51.0,8.0,154.0
2022-10-01,142.0,71.0,26.0,46.0,75.0,6.0,48.0,209.0,60.0,84.0,2.0,24.0,124.0,41.0,15.0,49.0,7.0,146.0
2022-11-01,146.0,69.0,24.0,43.0,77.0,5.0,49.0,206.0,57.0,78.0,2.0,21.0,119.0,40.0,14.0,47.0,7.0,146.0
2022-12-01,146.0,67.0,26.0,42.0,73.0,5.0,48.0,207.0,53.0,79.0,2.0,20.0,112.0,39.0,13.0,47.0,7.0,148.0
2023-01-01,144.0,71.0,28.0,40.0,74.0,5.0,46.0,204.0,50.0,78.0,2.0,20.0,112.0,40.0,11.0,49.0,7.0,148.0
2023-02-01,143.0,73.0,29.0,41.0,73.0,6.0,44.0,200.0,53.0,79.0,2.0,22.0,112.0,40.0,12.0,44.0,7.0,142.0
2023-03-01,135.0,71.0,27.0,41.0,72.0,6.0,41.0,193.0,51.0,75.0,2.0,24.0,110.0,40.0,12.0,43.0,7.0,139.0
2023-04-01,132.0,67.0,25.0,39.0,70.0,6.0,39.0,190.0,51.0,74.0,2.0,25.0,104.0,39.0,14.0,39.0,7.0,139.0
2023-05-01,129.0,65.0,24.0,39.0,68.0,6.0,38.0,186.0,48.0,71.0,2.0,25.0,99.0,40.0,14.0,39.0,7.0,142.0
2023-06-01,125.0,63.0,26.0,40.0,67.0,7.0,38.0,181.0,48.0,71.0,2.0,24.0,98.0,39.0,14.0,38.0,7.0,137.0
2023-07-01,119.0,59.0,26.0,37.0,67.0,6.0,37.0,181.0,47.0,70.0,2.0,24.0,95.0,38.0,12.0,38.0,7.0,136.0
2023-08-01,118.0,56.0,26.0,34.0,65.0,6.0,35.0,179.0,45.0,70.0,2.0,23.0,93.0,37.0,10.0,39.0,7.0,138.0
2023-09-01,113.0,58.0,21.0,33.0,67.0,5.0,35.0,179.0,43.0,69.0,2.0,22.0,93.0,37.0,9.0,35.0,6.0,134.0
2023-10-01,115.0,60.0,19.0,36.0,65.0,5.0,36.0,174.0,43.0,67.0,2.0,20.0,92.0,39.0,11.0,33.0,6.0,131.0
2023-11-01,109.0,63.0,17.0,37.0,64.0,5.0,35.0,170.0,42.0,65.0,2.0,19.0,92.0,38.0,13.0,30.0,6.0,123.0
2023-12-01,108.0,65.0,18.0,35.0,63.0,5.0,33.0,166.0,45.0,68.0,2.0,18.0,91.0,37.0,13.0,32.0,7.0,122.0
2024-01-01,108.0,67.0,16.0,36.0,63.0,5.0,34.0,160.0,43.0,67.0,2.0,18.0,91.0,36.0,14.0,31.0,6.0,120.0
2024-02-01,108.0,67.0,14.0,37.0,63.0,5.0,37.0,162.0,44.0,65.0,2.0,19.0,89.0,36.0,16.0,35.0,7.0,116.0
2024-03-01,108.0,67.0,17.0,36.0,63.0,5.0,36.0,162.0,39.0,61.0,2.0,18.0,90.0,36.0,16.0,35.0,6.0,113.0
2024-04-01,100.0,65.0,19.0,38.0,64.0,5.0,35.0,162.0,40.0,62.0,2.0,17.0,89.0,37.0,15.0,35.0,7.0,110.0
2024-05-01,97.0,61.0,20.0,35.0,62.0,4.0,33.0,160.0,39.0,63.0,2.0,17.0,86.0,36.0,14.0,34.0,7.0,107.0
2024-06-01,95.0,59.0,18.0,37.0,61.0,5.0,32.0,156.0,38.0,62.0,2.0,15.0,86.0,36.0,14.0,36.0,7.0,107.0
2024-07-01,97.0,55.0,17.0,37.0,61.0,4.0,33.0,152.0,38.0,61.0,1.0,14.0,85.0,35.0,13.0,34.0,7.0,106.0
2024-08-01,93.0,57.0,18.0,37.0,61.0,4.0,34.0,147.0,37.0,58.0,1.0,14.0,85.0,35.0,12.0,33.0,7.0,104.0
2024-09-01,91.0,58.0,17.0,36.0,60.0,4.0,35.0,145.0,38.0,57.0,2.0,15.0,84.0,35.0,13.0,33.0,6.0,101.0
2024-10-01,89.0,57.0,17.0,33.0,60.0,4.0,34.0,143.0,38.0,55.0,2.0,15.0,80.0,37.0,13.0,36.0,7.0,95.0
2024-11-01,88.0,57.0,15.0,35.0,59.0,4.0,35.0,141.0,38.0,57.0,2.0,15.0,82.0,37.0,14.0,37.0,6.0,95.0
2024-12-01,87.0,53.0,18.0,40.0,59.0,4.0,35.0,142.0,37.0,58.0,2.0,15.0,83.0,37.0,14.0,38.0,6.0,93.0
