Local authority,Count,Location quotient
North Yorkshire,206,8.12414
Leeds,196,4.95701
Cheshire East,172,8.2236
County Durham,139,11.17259
East Riding of Yorkshire,131,10.95661
Manchester,121,2.78258
Trafford,106,6.33509
Newcastle upon Tyne,106,8.84606
Doncaster,104,9.13334
Liverpool,98,4.01329
Cheshire West and Chester,90,6.48881
Sheffield,86,3.95891
Warrington,83,5.76425
Stockport,79,4.84524
Northumberland,78,9.19752
Kirklees,74,4.09584
Westmorland and Furness,73,9.52667
Salford,65,4.42314
Gateshead,65,9.37613
Fylde,62,11.67461
Bradford,60,2.83249
Sunderland,59,9.53393
Bolton,56,3.4482
Wirral,54,5.0121
Cumberland,54,7.1115
Wigan,53,5.43034
Preston,47,5.59367
Calderdale,46,5.13803
"Kingston upon Hull, City of",44,5.80613
Bury,43,3.14815
Rotherham,39,4.93133
North Lincolnshire,38,7.73791
North Tyneside,37,6.07737
Oldham,37,3.46647
York,36,4.50174
Wakefield,36,3.41332
Chorley,35,6.33549
Sefton,35,3.61999
Stockton-on-Tees,35,4.73877
Barnsley,35,5.16136
Blackburn with Darwen,34,4.83755
Lancaster,31,7.28323
St. Helens,28,6.05209
South Ribble,27,6.89173
West Lancashire,26,5.68019
Wyre,24,6.39461
Rochdale,24,2.86171
North East Lincolnshire,22,3.72865
Halton,22,6.01742
Knowsley,19,4.62777
Burnley,18,5.48637
Pendle,17,4.96039
Tameside,17,2.23435
Hyndburn,15,5.5801
Middlesbrough,15,3.07378
Redcar and Cleveland,15,5.18708
Blackpool,15,3.17639
Ribble Valley,14,4.81921
Darlington,13,3.26155
Hartlepool,12,5.3652
South Tyneside,11,3.14656
Rossendale,10,3.68206